areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
nation,England,E92000001,2021-07-13,4,113018
nation,England,E92000001,2021-07-12,18,113014
nation,England,E92000001,2021-07-11,18,112996
nation,England,E92000001,2021-07-10,24,112978
nation,England,E92000001,2021-07-09,32,112954
nation,England,E92000001,2021-07-08,23,112922
nation,England,E92000001,2021-07-07,21,112899
nation,England,E92000001,2021-07-06,17,112878
nation,England,E92000001,2021-07-05,20,112861
nation,England,E92000001,2021-07-04,19,112841
nation,England,E92000001,2021-07-03,24,112822
nation,England,E92000001,2021-07-02,23,112798
nation,England,E92000001,2021-07-01,18,112775
nation,England,E92000001,2021-06-30,19,112757
nation,England,E92000001,2021-06-29,20,112738
nation,England,E92000001,2021-06-28,9,112718
nation,England,E92000001,2021-06-27,17,112709
nation,England,E92000001,2021-06-26,7,112692
nation,England,E92000001,2021-06-25,19,112685
nation,England,E92000001,2021-06-24,19,112666
nation,England,E92000001,2021-06-23,5,112647
nation,England,E92000001,2021-06-22,9,112642
nation,England,E92000001,2021-06-21,13,112633
nation,England,E92000001,2021-06-20,20,112620
nation,England,E92000001,2021-06-19,18,112600
nation,England,E92000001,2021-06-18,10,112582
nation,England,E92000001,2021-06-17,5,112572
nation,England,E92000001,2021-06-16,10,112567
nation,England,E92000001,2021-06-15,13,112557
nation,England,E92000001,2021-06-14,8,112544
nation,England,E92000001,2021-06-13,7,112536
nation,England,E92000001,2021-06-12,13,112529
nation,England,E92000001,2021-06-11,6,112516
nation,England,E92000001,2021-06-10,9,112510
nation,England,E92000001,2021-06-09,4,112501
nation,England,E92000001,2021-06-08,7,112497
nation,England,E92000001,2021-06-07,4,112490
nation,England,E92000001,2021-06-06,5,112486
nation,England,E92000001,2021-06-05,4,112481
nation,England,E92000001,2021-06-04,8,112477
nation,England,E92000001,2021-06-03,10,112469
nation,England,E92000001,2021-06-02,9,112459
nation,England,E92000001,2021-06-01,3,112450
nation,England,E92000001,2021-05-31,7,112447
nation,England,E92000001,2021-05-30,7,112440
nation,England,E92000001,2021-05-29,5,112433
nation,England,E92000001,2021-05-28,6,112428
nation,England,E92000001,2021-05-27,7,112422
nation,England,E92000001,2021-05-26,10,112415
nation,England,E92000001,2021-05-25,3,112405
nation,England,E92000001,2021-05-24,8,112402
nation,England,E92000001,2021-05-23,6,112394
nation,England,E92000001,2021-05-22,3,112388
nation,England,E92000001,2021-05-21,7,112385
nation,England,E92000001,2021-05-20,5,112378
nation,England,E92000001,2021-05-19,3,112373
nation,England,E92000001,2021-05-18,3,112370
nation,England,E92000001,2021-05-17,5,112367
nation,England,E92000001,2021-05-16,6,112362
nation,England,E92000001,2021-05-15,7,112356
nation,England,E92000001,2021-05-14,3,112349
nation,England,E92000001,2021-05-13,4,112346
nation,England,E92000001,2021-05-12,9,112342
nation,England,E92000001,2021-05-11,13,112333
nation,England,E92000001,2021-05-10,8,112320
nation,England,E92000001,2021-05-09,8,112312
nation,England,E92000001,2021-05-08,8,112304
nation,England,E92000001,2021-05-07,8,112296
nation,England,E92000001,2021-05-06,7,112288
nation,England,E92000001,2021-05-05,12,112281
nation,England,E92000001,2021-05-04,9,112269
nation,England,E92000001,2021-05-03,8,112260
nation,England,E92000001,2021-05-02,10,112252
nation,England,E92000001,2021-05-01,7,112242
nation,England,E92000001,2021-04-30,8,112235
nation,England,E92000001,2021-04-29,11,112227
nation,England,E92000001,2021-04-28,13,112216
nation,England,E92000001,2021-04-27,10,112203
nation,England,E92000001,2021-04-26,9,112193
nation,England,E92000001,2021-04-25,12,112184
nation,England,E92000001,2021-04-24,7,112172
nation,England,E92000001,2021-04-23,17,112165
nation,England,E92000001,2021-04-22,14,112148
nation,England,E92000001,2021-04-21,17,112134
nation,England,E92000001,2021-04-20,17,112117
nation,England,E92000001,2021-04-19,16,112100
nation,England,E92000001,2021-04-18,15,112084
nation,England,E92000001,2021-04-17,17,112069
nation,England,E92000001,2021-04-16,15,112052
nation,England,E92000001,2021-04-15,17,112037
nation,England,E92000001,2021-04-14,9,112020
nation,England,E92000001,2021-04-13,19,112011
nation,England,E92000001,2021-04-12,25,111992
nation,England,E92000001,2021-04-11,19,111967
nation,England,E92000001,2021-04-10,18,111948
nation,England,E92000001,2021-04-09,17,111930
nation,England,E92000001,2021-04-08,31,111913
nation,England,E92000001,2021-04-07,25,111882
nation,England,E92000001,2021-04-06,23,111857
nation,England,E92000001,2021-04-05,10,111834
nation,England,E92000001,2021-04-04,23,111824
nation,England,E92000001,2021-04-03,27,111801
nation,England,E92000001,2021-04-02,19,111774
nation,England,E92000001,2021-04-01,28,111755
nation,England,E92000001,2021-03-31,36,111727
nation,England,E92000001,2021-03-30,38,111691
nation,England,E92000001,2021-03-29,25,111653
nation,England,E92000001,2021-03-28,27,111628
nation,England,E92000001,2021-03-27,29,111601
nation,England,E92000001,2021-03-26,41,111572
nation,England,E92000001,2021-03-25,37,111531
nation,England,E92000001,2021-03-24,34,111494
nation,England,E92000001,2021-03-23,45,111460
nation,England,E92000001,2021-03-22,57,111415
nation,England,E92000001,2021-03-21,69,111358
nation,England,E92000001,2021-03-20,59,111289
nation,England,E92000001,2021-03-19,56,111230
nation,England,E92000001,2021-03-18,52,111174
nation,England,E92000001,2021-03-17,65,111122
nation,England,E92000001,2021-03-16,66,111057
nation,England,E92000001,2021-03-15,83,110991
nation,England,E92000001,2021-03-14,79,110908
nation,England,E92000001,2021-03-13,97,110829
nation,England,E92000001,2021-03-12,81,110732
nation,England,E92000001,2021-03-11,107,110651
nation,England,E92000001,2021-03-10,97,110544
nation,England,E92000001,2021-03-09,113,110447
nation,England,E92000001,2021-03-08,120,110334
nation,England,E92000001,2021-03-07,113,110214
nation,England,E92000001,2021-03-06,129,110101
nation,England,E92000001,2021-03-05,156,109972
nation,England,E92000001,2021-03-04,129,109816
nation,England,E92000001,2021-03-03,126,109687
nation,England,E92000001,2021-03-02,154,109561
nation,England,E92000001,2021-03-01,192,109407
nation,England,E92000001,2021-02-28,197,109215
nation,England,E92000001,2021-02-27,196,109018
nation,England,E92000001,2021-02-26,194,108822
nation,England,E92000001,2021-02-25,220,108628
nation,England,E92000001,2021-02-24,239,108408
nation,England,E92000001,2021-02-23,254,108169
nation,England,E92000001,2021-02-22,241,107915
nation,England,E92000001,2021-02-21,286,107674
nation,England,E92000001,2021-02-20,302,107388
nation,England,E92000001,2021-02-19,317,107086
nation,England,E92000001,2021-02-18,364,106769
nation,England,E92000001,2021-02-17,384,106405
nation,England,E92000001,2021-02-16,395,106021
nation,England,E92000001,2021-02-15,460,105626
nation,England,E92000001,2021-02-14,435,105166
nation,England,E92000001,2021-02-13,431,104731
nation,England,E92000001,2021-02-12,451,104300
nation,England,E92000001,2021-02-11,507,103849
nation,England,E92000001,2021-02-10,542,103342
nation,England,E92000001,2021-02-09,537,102800
nation,England,E92000001,2021-02-08,611,102263
nation,England,E92000001,2021-02-07,566,101652
nation,England,E92000001,2021-02-06,609,101086
nation,England,E92000001,2021-02-05,675,100477
nation,England,E92000001,2021-02-04,647,99802
nation,England,E92000001,2021-02-03,777,99155
nation,England,E92000001,2021-02-02,759,98378
nation,England,E92000001,2021-02-01,804,97619
nation,England,E92000001,2021-01-31,810,96815
nation,England,E92000001,2021-01-30,831,96005
nation,England,E92000001,2021-01-29,943,95174
nation,England,E92000001,2021-01-28,1016,94231
nation,England,E92000001,2021-01-27,1006,93215
nation,England,E92000001,2021-01-26,960,92209
nation,England,E92000001,2021-01-25,1070,91249
nation,England,E92000001,2021-01-24,1040,90179
nation,England,E92000001,2021-01-23,1058,89139
nation,England,E92000001,2021-01-22,1123,88081
nation,England,E92000001,2021-01-21,1133,86958
nation,England,E92000001,2021-01-20,1173,85825
nation,England,E92000001,2021-01-19,1244,84652
nation,England,E92000001,2021-01-18,1168,83408
nation,England,E92000001,2021-01-17,1167,82240
nation,England,E92000001,2021-01-16,1170,81073
nation,England,E92000001,2021-01-15,1101,79903
nation,England,E92000001,2021-01-14,1088,78802
nation,England,E92000001,2021-01-13,1101,77714
nation,England,E92000001,2021-01-12,1091,76613
nation,England,E92000001,2021-01-11,1004,75522
nation,England,E92000001,2021-01-10,981,74518
nation,England,E92000001,2021-01-09,927,73537
nation,England,E92000001,2021-01-08,886,72610
nation,England,E92000001,2021-01-07,888,71724
nation,England,E92000001,2021-01-06,824,70836
nation,England,E92000001,2021-01-05,820,70012
nation,England,E92000001,2021-01-04,752,69192
nation,England,E92000001,2021-01-03,652,68440
nation,England,E92000001,2021-01-02,669,67788
nation,England,E92000001,2021-01-01,643,67119
nation,England,E92000001,2020-12-31,652,66476
nation,England,E92000001,2020-12-30,625,65824
nation,England,E92000001,2020-12-29,578,65199
nation,England,E92000001,2020-12-28,590,64621
nation,England,E92000001,2020-12-27,575,64031
nation,England,E92000001,2020-12-26,567,63456
nation,England,E92000001,2020-12-25,537,62889
nation,England,E92000001,2020-12-24,486,62352
nation,England,E92000001,2020-12-23,481,61866
nation,England,E92000001,2020-12-22,489,61385
nation,England,E92000001,2020-12-21,496,60896
nation,England,E92000001,2020-12-20,430,60400
nation,England,E92000001,2020-12-19,412,59970
nation,England,E92000001,2020-12-18,433,59558
nation,England,E92000001,2020-12-17,439,59125
nation,England,E92000001,2020-12-16,355,58686
nation,England,E92000001,2020-12-15,388,58331
nation,England,E92000001,2020-12-14,412,57943
nation,England,E92000001,2020-12-13,365,57531
nation,England,E92000001,2020-12-12,374,57166
nation,England,E92000001,2020-12-11,397,56792
nation,England,E92000001,2020-12-10,379,56395
nation,England,E92000001,2020-12-09,374,56016
nation,England,E92000001,2020-12-08,375,55642
nation,England,E92000001,2020-12-07,354,55267
nation,England,E92000001,2020-12-06,355,54913
nation,England,E92000001,2020-12-05,344,54558
nation,England,E92000001,2020-12-04,411,54214
nation,England,E92000001,2020-12-03,405,53803
nation,England,E92000001,2020-12-02,336,53398
nation,England,E92000001,2020-12-01,346,53062
nation,England,E92000001,2020-11-30,362,52716
nation,England,E92000001,2020-11-29,402,52354
nation,England,E92000001,2020-11-28,383,51952
nation,England,E92000001,2020-11-27,364,51569
nation,England,E92000001,2020-11-26,372,51205
nation,England,E92000001,2020-11-25,425,50833
nation,England,E92000001,2020-11-24,406,50408
nation,England,E92000001,2020-11-23,400,50002
nation,England,E92000001,2020-11-22,406,49602
nation,England,E92000001,2020-11-21,397,49196
nation,England,E92000001,2020-11-20,390,48799
nation,England,E92000001,2020-11-19,397,48409
nation,England,E92000001,2020-11-18,435,48012
nation,England,E92000001,2020-11-17,364,47577
nation,England,E92000001,2020-11-16,358,47213
nation,England,E92000001,2020-11-15,382,46855
nation,England,E92000001,2020-11-14,358,46473
nation,England,E92000001,2020-11-13,357,46115
nation,England,E92000001,2020-11-12,351,45758
nation,England,E92000001,2020-11-11,312,45407
nation,England,E92000001,2020-11-10,319,45095
nation,England,E92000001,2020-11-09,401,44776
nation,England,E92000001,2020-11-08,341,44375
nation,England,E92000001,2020-11-07,333,44034
nation,England,E92000001,2020-11-06,333,43701
nation,England,E92000001,2020-11-05,301,43368
nation,England,E92000001,2020-11-04,278,43067
nation,England,E92000001,2020-11-03,291,42789
nation,England,E92000001,2020-11-02,285,42498
nation,England,E92000001,2020-11-01,286,42213
nation,England,E92000001,2020-10-31,276,41927
nation,England,E92000001,2020-10-30,281,41651
nation,England,E92000001,2020-10-29,249,41370
nation,England,E92000001,2020-10-28,238,41121
nation,England,E92000001,2020-10-27,217,40883
nation,England,E92000001,2020-10-26,221,40666
nation,England,E92000001,2020-10-25,206,40445
nation,England,E92000001,2020-10-24,171,40239
nation,England,E92000001,2020-10-23,188,40068
nation,England,E92000001,2020-10-22,187,39880
nation,England,E92000001,2020-10-21,191,39693
nation,England,E92000001,2020-10-20,171,39502
nation,England,E92000001,2020-10-19,159,39331
nation,England,E92000001,2020-10-18,120,39172
nation,England,E92000001,2020-10-17,161,39052
nation,England,E92000001,2020-10-16,122,38891
nation,England,E92000001,2020-10-15,124,38769
nation,England,E92000001,2020-10-14,101,38645
nation,England,E92000001,2020-10-13,87,38544
nation,England,E92000001,2020-10-12,96,38457
nation,England,E92000001,2020-10-11,103,38361
nation,England,E92000001,2020-10-10,90,38258
nation,England,E92000001,2020-10-09,67,38168
nation,England,E92000001,2020-10-08,76,38101
nation,England,E92000001,2020-10-07,81,38025
nation,England,E92000001,2020-10-06,62,37944
nation,England,E92000001,2020-10-05,59,37882
nation,England,E92000001,2020-10-04,54,37823
nation,England,E92000001,2020-10-03,55,37769
nation,England,E92000001,2020-10-02,64,37714
nation,England,E92000001,2020-10-01,55,37650
nation,England,E92000001,2020-09-30,48,37595
nation,England,E92000001,2020-09-29,43,37547
nation,England,E92000001,2020-09-28,47,37504
nation,England,E92000001,2020-09-27,42,37457
nation,England,E92000001,2020-09-26,35,37415
nation,England,E92000001,2020-09-25,29,37380
nation,England,E92000001,2020-09-24,33,37351
nation,England,E92000001,2020-09-23,52,37318
nation,England,E92000001,2020-09-22,34,37266
nation,England,E92000001,2020-09-21,24,37232
nation,England,E92000001,2020-09-20,28,37208
nation,England,E92000001,2020-09-19,18,37180
nation,England,E92000001,2020-09-18,21,37162
nation,England,E92000001,2020-09-17,24,37141
nation,England,E92000001,2020-09-16,22,37117
nation,England,E92000001,2020-09-15,15,37095
nation,England,E92000001,2020-09-14,17,37080
nation,England,E92000001,2020-09-13,14,37063
nation,England,E92000001,2020-09-12,18,37049
nation,England,E92000001,2020-09-11,10,37031
nation,England,E92000001,2020-09-10,12,37021
nation,England,E92000001,2020-09-09,9,37009
nation,England,E92000001,2020-09-08,9,37000
nation,England,E92000001,2020-09-07,13,36991
nation,England,E92000001,2020-09-06,8,36978
nation,England,E92000001,2020-09-05,12,36970
nation,England,E92000001,2020-09-04,6,36958
nation,England,E92000001,2020-09-03,6,36952
nation,England,E92000001,2020-09-02,8,36946
nation,England,E92000001,2020-09-01,2,36938
nation,England,E92000001,2020-08-31,7,36936
nation,England,E92000001,2020-08-30,6,36929
nation,England,E92000001,2020-08-29,5,36923
nation,England,E92000001,2020-08-28,8,36918
nation,England,E92000001,2020-08-27,8,36910
nation,England,E92000001,2020-08-26,11,36902
nation,England,E92000001,2020-08-25,11,36891
nation,England,E92000001,2020-08-24,5,36880
nation,England,E92000001,2020-08-23,13,36875
nation,England,E92000001,2020-08-22,6,36862
nation,England,E92000001,2020-08-21,7,36856
nation,England,E92000001,2020-08-20,8,36849
nation,England,E92000001,2020-08-19,2,36841
nation,England,E92000001,2020-08-18,7,36839
nation,England,E92000001,2020-08-17,12,36832
nation,England,E92000001,2020-08-16,4,36820
nation,England,E92000001,2020-08-15,11,36816
nation,England,E92000001,2020-08-14,6,36805
nation,England,E92000001,2020-08-13,7,36799
nation,England,E92000001,2020-08-12,6,36792
nation,England,E92000001,2020-08-11,10,36786
nation,England,E92000001,2020-08-10,11,36776
nation,England,E92000001,2020-08-09,8,36765
nation,England,E92000001,2020-08-08,11,36757
nation,England,E92000001,2020-08-07,7,36746
nation,England,E92000001,2020-08-06,9,36739
nation,England,E92000001,2020-08-05,3,36730
nation,England,E92000001,2020-08-04,10,36727
nation,England,E92000001,2020-08-03,14,36717
nation,England,E92000001,2020-08-02,8,36703
nation,England,E92000001,2020-08-01,9,36695
nation,England,E92000001,2020-07-31,10,36686
nation,England,E92000001,2020-07-30,8,36676
nation,England,E92000001,2020-07-29,8,36668
nation,England,E92000001,2020-07-28,10,36660
nation,England,E92000001,2020-07-27,10,36650
nation,England,E92000001,2020-07-26,14,36640
nation,England,E92000001,2020-07-25,13,36626
nation,England,E92000001,2020-07-24,6,36613
nation,England,E92000001,2020-07-23,16,36607
nation,England,E92000001,2020-07-22,16,36591
nation,England,E92000001,2020-07-21,19,36575
nation,England,E92000001,2020-07-20,12,36556
nation,England,E92000001,2020-07-19,14,36544
nation,England,E92000001,2020-07-18,14,36530
nation,England,E92000001,2020-07-17,18,36516
nation,England,E92000001,2020-07-16,12,36498
nation,England,E92000001,2020-07-15,20,36486
nation,England,E92000001,2020-07-14,20,36466
nation,England,E92000001,2020-07-13,22,36446
nation,England,E92000001,2020-07-12,12,36424
nation,England,E92000001,2020-07-11,20,36412
nation,England,E92000001,2020-07-10,21,36392
nation,England,E92000001,2020-07-09,35,36371
nation,England,E92000001,2020-07-08,23,36336
nation,England,E92000001,2020-07-07,26,36313
nation,England,E92000001,2020-07-06,33,36287
nation,England,E92000001,2020-07-05,24,36254
nation,England,E92000001,2020-07-04,31,36230
nation,England,E92000001,2020-07-03,26,36199
nation,England,E92000001,2020-07-02,40,36173
nation,England,E92000001,2020-07-01,22,36133
nation,England,E92000001,2020-06-30,43,36111
nation,England,E92000001,2020-06-29,34,36068
nation,England,E92000001,2020-06-28,42,36034
nation,England,E92000001,2020-06-27,39,35992
nation,England,E92000001,2020-06-26,37,35953
nation,England,E92000001,2020-06-25,58,35916
nation,England,E92000001,2020-06-24,67,35858
nation,England,E92000001,2020-06-23,61,35791
nation,England,E92000001,2020-06-22,58,35730
nation,England,E92000001,2020-06-21,47,35672
nation,England,E92000001,2020-06-20,54,35625
nation,England,E92000001,2020-06-19,47,35571
nation,England,E92000001,2020-06-18,57,35524
nation,England,E92000001,2020-06-17,54,35467
nation,England,E92000001,2020-06-16,69,35413
nation,England,E92000001,2020-06-15,61,35344
nation,England,E92000001,2020-06-14,76,35283
nation,England,E92000001,2020-06-13,52,35207
nation,England,E92000001,2020-06-12,73,35155
nation,England,E92000001,2020-06-11,71,35082
nation,England,E92000001,2020-06-10,97,35011
nation,England,E92000001,2020-06-09,85,34914
nation,England,E92000001,2020-06-08,112,34829
nation,England,E92000001,2020-06-07,113,34717
nation,England,E92000001,2020-06-06,98,34604
nation,England,E92000001,2020-06-05,109,34506
nation,England,E92000001,2020-06-04,121,34397
nation,England,E92000001,2020-06-03,138,34276
nation,England,E92000001,2020-06-02,155,34138
nation,England,E92000001,2020-06-01,122,33983
nation,England,E92000001,2020-05-31,112,33861
nation,England,E92000001,2020-05-30,145,33749
nation,England,E92000001,2020-05-29,163,33604
nation,England,E92000001,2020-05-28,182,33441
nation,England,E92000001,2020-05-27,170,33259
nation,England,E92000001,2020-05-26,189,33089
nation,England,E92000001,2020-05-25,175,32900
nation,England,E92000001,2020-05-24,169,32725
nation,England,E92000001,2020-05-23,200,32556
nation,England,E92000001,2020-05-22,195,32356
nation,England,E92000001,2020-05-21,201,32161
nation,England,E92000001,2020-05-20,234,31960
nation,England,E92000001,2020-05-19,231,31726
nation,England,E92000001,2020-05-18,253,31495
nation,England,E92000001,2020-05-17,223,31242
nation,England,E92000001,2020-05-16,268,31019
nation,England,E92000001,2020-05-15,269,30751
nation,England,E92000001,2020-05-14,277,30482
nation,England,E92000001,2020-05-13,256,30205
nation,England,E92000001,2020-05-12,275,29949
nation,England,E92000001,2020-05-11,260,29674
nation,England,E92000001,2020-05-10,300,29414
nation,England,E92000001,2020-05-09,330,29114
nation,England,E92000001,2020-05-08,330,28784
nation,England,E92000001,2020-05-07,399,28454
nation,England,E92000001,2020-05-06,390,28055
nation,England,E92000001,2020-05-05,392,27665
nation,England,E92000001,2020-05-04,412,27273
nation,England,E92000001,2020-05-03,388,26861
