sequence_name,sample_date,epi_week,epi_date,lineage
England/PHEC-L304LFC0/2021,2021-05-19,73,2021-05-16,A.27
England/RAND-15207B2/2021,2021-04-19,69,2021-04-18,A.27
England/QEUH-14FFFC4/2021,2021-04-13,68,2021-04-11,A.27
England/QEUH-150019C/2021,2021-04-13,68,2021-04-11,A.27
Scotland/QEUH-14F6358/2021,2021-04-11,68,2021-04-11,A.27
England/CAMC-149BB02/2021,2021-03-29,66,2021-03-28,A.27
England/CAMC-144C317/2021,2021-03-22,65,2021-03-21,A.27
England/CAMC-145B4D6/2021,2021-03-22,65,2021-03-21,A.27
England/CAMC-144BD0B/2021,2021-03-22,65,2021-03-21,A.27
England/CAMC-141BE10/2021,2021-03-19,64,2021-03-14,A.27
England/CAMC-13FBBE3/2021,2021-03-17,64,2021-03-14,A.27
England/CAMC-139B22C/2021,2021-03-04,62,2021-02-28,A.27
England/QEUH-138F0B8/2021,2021-02-27,61,2021-02-21,A.27
England/CAMC-133C102/2021,2021-02-24,61,2021-02-21,A.27
England/CAMC-133C0C9/2021,2021-02-23,61,2021-02-21,A.27
England/CAMC-1323C85/2021,2021-02-23,61,2021-02-21,A.27
England/CAMC-132305C/2021,2021-02-22,61,2021-02-21,A.27
England/CAMC-1263516/2021,2021-02-10,59,2021-02-07,A.27
England/MILK-11A56E9/2021,2021-01-29,57,2021-01-24,A.27
England/PHEC-150B87/2020,2020-12-23,52,2020-12-20,A.27
