sequence_name,sample_date,epi_week,epi_date,lineage
England/ALDP-15076E1/2021,2021-04-14,68,2021-04-11,P.2
England/SHEF-10CEC34/2021,2021-03-11,63,2021-03-07,P.2
England/ALDP-142FE28/2021,2021-03-10,63,2021-03-07,P.2
England/MILK-13CC592/2021,2021-03-10,63,2021-03-07,P.2
England/ALDP-1388A48/2021,2021-03-03,62,2021-02-28,P.2
England/ALDP-1370463/2021,2021-03-01,62,2021-02-28,P.2
England/ALDP-136D88B/2021,2021-02-28,62,2021-02-28,P.2
England/CAMC-12DF8C1/2021,2021-02-21,61,2021-02-21,P.2
England/SHEF-10D405D/2021,2021-02-21,61,2021-02-21,P.2
England/CAMC-130F2BA/2021,2021-02-20,60,2021-02-14,P.2
England/ALDP-130B97D/2021,2021-02-20,60,2021-02-14,P.2
England/ALDP-130B8BC/2021,2021-02-20,60,2021-02-14,P.2
England/ALDP-130B676/2021,2021-02-20,60,2021-02-14,P.2
England/ALDP-130C3AB/2021,2021-02-19,60,2021-02-14,P.2
England/ALDP-130ADBE/2021,2021-02-19,60,2021-02-14,P.2
England/BHRT-24B953A/2021,2021-02-18,60,2021-02-14,P.2
England/MILK-12ED0F5/2021,2021-02-18,60,2021-02-14,P.2
England/MILK-12CC5DF/2021,2021-02-17,60,2021-02-14,P.2
England/QEUH-12B767A/2021,2021-02-16,60,2021-02-14,P.2
England/SHEF-10CEB55/2021,2021-02-16,60,2021-02-14,P.2
England/SHEF-10CF50B/2021,2021-02-11,59,2021-02-07,P.2
Scotland/EDB14959/2021,2021-02-05,58,2021-01-31,P.2
England/SHEF-10C5AE8/2021,2021-02-04,58,2021-01-31,P.2
England/SHEF-10D7430/2021,2021-02-03,58,2021-01-31,P.2
England/RAND-12672B1/2021,2021-02-01,58,2021-01-31,P.2
England/MILK-11A51D9/2021,2021-01-29,57,2021-01-24,P.2
England/RAND-120DEB9/2021,2021-01-27,57,2021-01-24,P.2
England/ALDP-1195BDE/2021,2021-01-26,57,2021-01-24,P.2
Scotland/EDB14636/2021,2021-01-26,57,2021-01-24,P.2
Wales/PHWC-4CC251/2021,2021-01-22,56,2021-01-17,P.2
England/SHEF-10CC2DA/2021,2021-01-22,56,2021-01-17,P.2
England/SHEF-10D33A0/2021,2021-01-22,56,2021-01-17,P.2
England/PORT-2EC26C/2021,2021-01-17,56,2021-01-17,P.2
England/MILK-10AE423/2021,2021-01-17,56,2021-01-17,P.2
England/ALDP-109DB40/2021,2021-01-17,56,2021-01-17,P.2
England/ALDP-109DB5F/2021,2021-01-17,56,2021-01-17,P.2
England/PORT-2EC035/2021,2021-01-15,55,2021-01-10,P.2
England/PORT-2EB704/2021,2021-01-07,54,2021-01-03,P.2
England/PORT-2EB6DA/2021,2021-01-07,54,2021-01-03,P.2
England/MILK-F72F49/2021,2021-01-05,54,2021-01-03,P.2
England/ALDP-F4B6DB/2021,2021-01-05,54,2021-01-03,P.2
England/PHEC-154215/2021,2021-01-02,53,2020-12-27,P.2
England/OXON-F49822/2021,2021-01-02,53,2020-12-27,P.2
England/ALDP-E29F42/2021,2021-01-01,53,2020-12-27,P.2
England/PORT-2EAFC1/2020,2020-12-31,53,2020-12-27,P.2
England/ALDP-DA2179/2020,2020-12-30,53,2020-12-27,P.2
England/CAMC-D30BFA/2020,2020-12-26,52,2020-12-20,P.2
Scotland/EDB14654/2020,2020-12-21,52,2020-12-20,P.2
England/NORW-222D0F/2020,2020-12-20,52,2020-12-20,P.2
Scotland/EDB14660/2020,2020-12-19,51,2020-12-13,P.2
Scotland/EDB14658/2020,2020-12-18,51,2020-12-13,P.2
England/LOND-12885C0/2020,2020-12-17,51,2020-12-13,P.2
England/MILK-CA4B5C/2020,2020-12-15,51,2020-12-13,P.2
England/MILK-CA4B89/2020,2020-12-15,51,2020-12-13,P.2
England/TFCI-26FBE11/2020,2020-12-14,51,2020-12-13,P.2
England/CAMC-C46B6B/2020,2020-12-10,50,2020-12-06,P.2
England/ALDP-C3B282/2020,2020-12-09,50,2020-12-06,P.2
England/QEUH-B806FC/2020,2020-11-14,46,2020-11-08,P.2
