sequence_name,sample_date,epi_week,epi_date,lineage
Northern_Ireland/NIRE-236236/2021,2021-01-12,55,2021-01-10,B.1.1.28
England/CAMC-FB204A/2021,2021-01-11,55,2021-01-10,B.1.1.28
England/MILK-D07E11/2020,2020-12-19,51,2020-12-13,B.1.1.28
England/QEUH-CC1F3F/2020,2020-12-17,51,2020-12-13,B.1.1.28
England/ALDP-CB58E8/2020,2020-12-17,51,2020-12-13,B.1.1.28
England/ALDP-C3AC67/2020,2020-12-08,50,2020-12-06,B.1.1.28
England/MILK-C0BAB0/2020,2020-12-05,49,2020-11-29,B.1.1.28
England/MILK-C00383/2020,2020-12-02,49,2020-11-29,B.1.1.28
England/ALDP-BB31B3/2020,2020-11-19,47,2020-11-15,B.1.1.28
England/CAMC-B9ABD2/2020,2020-11-15,47,2020-11-15,B.1.1.28
England/MILK-ACFE45/2020,2020-10-22,43,2020-10-18,B.1.1.28
England/MILK-ACFE90/2020,2020-10-22,43,2020-10-18,B.1.1.28
England/MILK-ABBFD0/2020,2020-10-22,43,2020-10-18,B.1.1.28
England/MILK-AC9607/2020,2020-10-21,43,2020-10-18,B.1.1.28
England/MILK-ABBBBE/2020,2020-10-21,43,2020-10-18,B.1.1.28
England/QEUH-A79062/2020,2020-10-12,42,2020-10-11,B.1.1.28
England/WSFT-25C5585/2020,2020-10-09,41,2020-10-04,B.1.1.28
England/QEUH-9B7A5C/2020,2020-09-04,36,2020-08-30,B.1.1.28
England/QEUH-9B7A6B/2020,2020-09-03,36,2020-08-30,B.1.1.28
England/MILK-99D597/2020,2020-08-30,36,2020-08-30,B.1.1.28
England/ALDP-91629F/2020,2020-06-22,26,2020-06-21,B.1.1.28
Scotland/EDB6515/2020,2020-06-15,25,2020-06-14,B.1.1.28
Scotland/CVR3778/2020,2020-05-27,22,2020-05-24,B.1.1.28
Scotland/CVR3690/2020,2020-05-24,22,2020-05-24,B.1.1.28
Scotland/CVR3511/2020,2020-05-08,19,2020-05-03,B.1.1.28
Scotland/CVR3475/2020,2020-05-08,19,2020-05-03,B.1.1.28
Scotland/CVR3290/2020,2020-05-06,19,2020-05-03,B.1.1.28
Scotland/CVR3315/2020,2020-05-05,19,2020-05-03,B.1.1.28
Scotland/CVR3289/2020,2020-05-01,18,2020-04-26,B.1.1.28
Scotland/CVR3105/2020,2020-04-25,17,2020-04-19,B.1.1.28
Scotland/CVR2951/2020,2020-04-22,17,2020-04-19,B.1.1.28
