sequence_name,sample_date,epi_week,epi_date,lineage
England/PHEC-L30ALE36/2021,2021-06-26,78,2021-06-20,B.1.525
England/PHEC-L307LE0C/2021,2021-06-15,77,2021-06-13,B.1.525
England/PHEC-L307L18B/2021,2021-06-11,76,2021-06-06,B.1.525
England/PHEC-L307L543/2021,2021-06-08,76,2021-06-06,B.1.525
England/PHEC-L307L929/2021,2021-06-07,76,2021-06-06,B.1.525
England/ALDP-160AE9A/2021,2021-05-31,75,2021-05-30,B.1.525
England/PHEC-L306LAAF/2021,2021-05-26,74,2021-05-23,B.1.525
England/ALDP-15BD310/2021,2021-05-24,74,2021-05-23,B.1.525
England/MILK-15AD4F2/2021,2021-05-22,73,2021-05-16,B.1.525
Northern_Ireland/PHEC-L306L8B4/2021,2021-05-21,73,2021-05-16,B.1.525
England/MILK-15AA000/2021,2021-05-21,73,2021-05-16,B.1.525
England/PHEC-L305L475/2021,2021-05-21,73,2021-05-16,B.1.525
England/PHEC-30F52D/2021,2021-05-20,73,2021-05-16,B.1.525
England/ALDP-15A5ECF/2021,2021-05-19,73,2021-05-16,B.1.525
England/ALDP-15ABB2C/2021,2021-05-18,73,2021-05-16,B.1.525
Northern_Ireland/PHEC-L304LEE1/2021,2021-05-17,73,2021-05-16,B.1.525
England/PHEC-L304L072/2021,2021-05-17,73,2021-05-16,B.1.525
England/PHEC-L304L160/2021,2021-05-17,73,2021-05-16,B.1.525
England/PHEC-L304LAB0/2021,2021-05-17,73,2021-05-16,B.1.525
England/PHEC-L304LBF9/2021,2021-05-17,73,2021-05-16,B.1.525
England/MILK-158A798/2021,2021-05-15,72,2021-05-09,B.1.525
England/ALDP-15A20DB/2021,2021-05-14,72,2021-05-09,B.1.525
England/ALDP-1591B1A/2021,2021-05-14,72,2021-05-09,B.1.525
England/ALDP-1591D41/2021,2021-05-14,72,2021-05-09,B.1.525
England/BHRT-24BB3E3/2021,2021-05-14,72,2021-05-09,B.1.525
England/BHRT-24BB3A7/2021,2021-05-14,72,2021-05-09,B.1.525
