sequence_name,sample_date,epi_week,epi_date,lineage
England/MILK-15ECA13/2021,2021-05-30,75,2021-05-30,A.23.1
England/MILK-15BF132/2021,2021-05-24,74,2021-05-23,A.23.1
England/MILK-153E63C/2021,2021-04-26,70,2021-04-25,A.23.1
England/PHEC-308357/2021,2021-04-19,69,2021-04-18,A.23.1
Wales/MILK-152AA82/2021,2021-04-15,68,2021-04-11,A.23.1
England/ALDP-14F22AA/2021,2021-04-10,67,2021-04-04,A.23.1
Wales/PHWC-PYDUWR/2021,2021-04-10,67,2021-04-04,A.23.1
England/RAND-14F1AC1/2021,2021-04-09,67,2021-04-04,A.23.1
England/CAMC-14E2FC4/2021,2021-04-05,67,2021-04-04,A.23.1
England/CAMC-14C2F33/2021,2021-04-04,67,2021-04-04,A.23.1
England/CAMC-13D3361/2021,2021-03-05,62,2021-02-28,A.23.1
England/CAMC-139B268/2021,2021-03-04,62,2021-02-28,A.23.1
England/CAMC-1380EDB/2021,2021-02-28,62,2021-02-28,A.23.1
England/ALDP-12EC348/2021,2021-02-18,60,2021-02-14,A.23.1
England/QEUH-12C4249/2021,2021-02-17,60,2021-02-14,A.23.1
England/ALDP-129A130/2021,2021-02-12,59,2021-02-07,A.23.1
England/CAMC-12720D7/2021,2021-02-12,59,2021-02-07,A.23.1
England/ALDP-1294770/2021,2021-02-11,59,2021-02-07,A.23.1
England/ALDP-1294BDE/2021,2021-02-11,59,2021-02-07,A.23.1
England/CAMC-127209B/2021,2021-02-11,59,2021-02-07,A.23.1
England/CAMC-127205F/2021,2021-02-11,59,2021-02-07,A.23.1
England/RAND-12DFD68/2021,2021-02-10,59,2021-02-07,A.23.1
England/CAMC-1255377/2021,2021-02-10,59,2021-02-07,A.23.1
England/PHEC-2F8485/2021,2021-02-10,59,2021-02-07,A.23.1
England/ALDP-125E96D/2021,2021-02-08,59,2021-02-07,A.23.1
Scotland/EDB16114/2021,2021-02-07,59,2021-02-07,A.23.1
England/PHWC-4D6227/2021,2021-02-07,59,2021-02-07,A.23.1
England/MILK-125FAB4/2021,2021-02-05,58,2021-01-31,A.23.1
