sequence_name,sample_date,epi_week,epi_date,lineage
England/LOND-136258F/2021,2021-06-21,78,2021-06-20,AV.1
England/NORW-13E32DA/2021,2021-06-18,77,2021-06-13,AV.1
England/ALDP-17816DE/2021,2021-06-17,77,2021-06-13,AV.1
England/ALDP-1719AFD/2021,2021-06-14,77,2021-06-13,AV.1
England/NORT-1BD3080/2021,2021-06-10,76,2021-06-06,AV.1
England/BIRM-BCNJHC/2021,2021-06-09,76,2021-06-06,AV.1
Wales/PHWC-PYGEJY/2021,2021-06-09,76,2021-06-06,AV.1
England/MILK-166EC9A/2021,2021-06-09,76,2021-06-06,AV.1
England/ALDP-16B8077/2021,2021-06-08,76,2021-06-06,AV.1
England/NORT-1BD0153/2021,2021-06-07,76,2021-06-06,AV.1
England/PHEC-31849D/2021,2021-06-07,76,2021-06-06,AV.1
England/SHEF-10DD79B/2021,2021-06-04,75,2021-05-30,AV.1
England/SHEF-10EB581/2021,2021-06-04,75,2021-05-30,AV.1
England/SHEF-10E3C75/2021,2021-06-04,75,2021-05-30,AV.1
England/PHEC-315CF2/2021,2021-06-04,75,2021-05-30,AV.1
England/SHEF-10DF80F/2021,2021-06-03,75,2021-05-30,AV.1
England/SHEF-10E212C/2021,2021-06-03,75,2021-05-30,AV.1
Wales/PHWC-PYF3XF/2021,2021-06-03,75,2021-05-30,AV.1
England/PHEC-316B30/2021,2021-06-03,75,2021-05-30,AV.1
England/ALDP-16217FC/2021,2021-06-02,75,2021-05-30,AV.1
England/NORT-1BCD05C/2021,2021-06-01,75,2021-05-30,AV.1
England/NORT-1BCCFBA/2021,2021-06-01,75,2021-05-30,AV.1
England/NORT-1BCAEBF/2021,2021-06-01,75,2021-05-30,AV.1
England/NORT-1BCDD28/2021,2021-05-31,75,2021-05-30,AV.1
England/ALDP-16085D3/2021,2021-05-31,75,2021-05-30,AV.1
England/NORT-1BCE088/2021,2021-05-30,75,2021-05-30,AV.1
England/ALDP-1601200/2021,2021-05-30,75,2021-05-30,AV.1
England/NORT-1BCA110/2021,2021-05-30,75,2021-05-30,AV.1
England/PHEC-312FFC/2021,2021-05-30,75,2021-05-30,AV.1
England/NORT-1BC8FFA/2021,2021-05-28,74,2021-05-23,AV.1
England/NORT-1BC91E4/2021,2021-05-28,74,2021-05-23,AV.1
England/NORT-1BC931B/2021,2021-05-28,74,2021-05-23,AV.1
England/NORT-1BC92E1/2021,2021-05-28,74,2021-05-23,AV.1
England/NORT-1BC732C/2021,2021-05-27,74,2021-05-23,AV.1
England/NORT-1BC780F/2021,2021-05-27,74,2021-05-23,AV.1
England/PHEC-312369/2021,2021-05-27,74,2021-05-23,AV.1
England/NORT-1BC75EA/2021,2021-05-26,74,2021-05-23,AV.1
England/NORT-1BC74ED/2021,2021-05-26,74,2021-05-23,AV.1
England/NORT-1BC8024/2021,2021-05-26,74,2021-05-23,AV.1
England/NORT-1BC8613/2021,2021-05-26,74,2021-05-23,AV.1
England/ALDP-15DCB6E/2021,2021-05-26,74,2021-05-23,AV.1
England/ALDP-15D9F65/2021,2021-05-26,74,2021-05-23,AV.1
England/ALDP-15DA025/2021,2021-05-26,74,2021-05-23,AV.1
England/MILK-15B7A20/2021,2021-05-24,74,2021-05-23,AV.1
England/ALDP-15BFC22/2021,2021-05-23,74,2021-05-23,AV.1
England/ALDP-15BB707/2021,2021-05-23,74,2021-05-23,AV.1
England/ALDP-15C0B30/2021,2021-05-23,74,2021-05-23,AV.1
England/NORT-1BC2664/2021,2021-05-20,73,2021-05-16,AV.1
England/NORT-1BC350C/2021,2021-05-20,73,2021-05-16,AV.1
England/NORT-1BC2CBD/2021,2021-05-20,73,2021-05-16,AV.1
England/NORT-1BC2682/2021,2021-05-20,73,2021-05-16,AV.1
England/NORT-1BC3214/2021,2021-05-20,73,2021-05-16,AV.1
England/ALDP-15A80E4/2021,2021-05-20,73,2021-05-16,AV.1
England/ALDP-15ABBA4/2021,2021-05-20,73,2021-05-16,AV.1
England/SHEF-10D9155/2021,2021-05-20,73,2021-05-16,AV.1
England/PHEC-30F54B/2021,2021-05-20,73,2021-05-16,AV.1
England/NORT-1BC2F0F/2021,2021-05-19,73,2021-05-16,AV.1
England/NORT-1BC1410/2021,2021-05-19,73,2021-05-16,AV.1
England/NORT-1BC160B/2021,2021-05-19,73,2021-05-16,AV.1
England/ALDP-15A6D94/2021,2021-05-19,73,2021-05-16,AV.1
England/NORT-1BBFB01/2021,2021-05-19,73,2021-05-16,AV.1
England/NORT-1BBF73A/2021,2021-05-19,73,2021-05-16,AV.1
England/NORT-1BBEAE7/2021,2021-05-19,73,2021-05-16,AV.1
England/NORT-1BBE6F2/2021,2021-05-19,73,2021-05-16,AV.1
England/NORT-1BC1B48/2021,2021-05-18,73,2021-05-16,AV.1
England/NORT-1BBF785/2021,2021-05-18,73,2021-05-16,AV.1
England/NORT-1BBF309/2021,2021-05-18,73,2021-05-16,AV.1
England/NORT-1BBF6D3/2021,2021-05-18,73,2021-05-16,AV.1
England/NORT-1BC3399/2021,2021-05-17,73,2021-05-16,AV.1
England/NORT-1BC11A0/2021,2021-05-17,73,2021-05-16,AV.1
England/SHEF-10D8E9B/2021,2021-05-17,73,2021-05-16,AV.1
England/NORT-1BBC64F/2021,2021-05-17,73,2021-05-16,AV.1
England/MILK-15909F3/2021,2021-05-17,73,2021-05-16,AV.1
England/SHEF-10DB2BA/2021,2021-05-17,73,2021-05-16,AV.1
England/NORT-1BC0C46/2021,2021-05-16,73,2021-05-16,AV.1
England/NORT-1BC0D43/2021,2021-05-16,73,2021-05-16,AV.1
England/NORT-1BC0A79/2021,2021-05-16,73,2021-05-16,AV.1
England/NORT-1BC0D34/2021,2021-05-16,73,2021-05-16,AV.1
England/NORT-1BC0CCE/2021,2021-05-16,73,2021-05-16,AV.1
England/MILK-158FDCE/2021,2021-05-16,73,2021-05-16,AV.1
England/NORT-1BBC5F7/2021,2021-05-15,72,2021-05-09,AV.1
England/PHEC-30ECA1/2021,2021-05-15,72,2021-05-09,AV.1
England/NORT-1BC0402/2021,2021-05-14,72,2021-05-09,AV.1
England/NORT-1BBE49E/2021,2021-05-14,72,2021-05-09,AV.1
England/NORT-1BBE258/2021,2021-05-14,72,2021-05-09,AV.1
England/NORT-1BBE2FE/2021,2021-05-14,72,2021-05-09,AV.1
England/NORT-1BBB4BF/2021,2021-05-14,72,2021-05-09,AV.1
England/NORT-1BBAD5B/2021,2021-05-14,72,2021-05-09,AV.1
England/NORT-1BBB7C5/2021,2021-05-14,72,2021-05-09,AV.1
England/ALDP-1584D23/2021,2021-05-13,72,2021-05-09,AV.1
England/NORT-1BC0095/2021,2021-05-13,72,2021-05-09,AV.1
England/SHEF-10DA0FD/2021,2021-05-13,72,2021-05-09,AV.1
England/NORT-1BBCA52/2021,2021-05-13,72,2021-05-09,AV.1
England/NORT-1BBCF9F/2021,2021-05-13,72,2021-05-09,AV.1
England/NORT-1BBCA07/2021,2021-05-13,72,2021-05-09,AV.1
England/ALDP-158A965/2021,2021-05-13,72,2021-05-09,AV.1
England/NORT-1BC5FEE/2021,2021-05-12,72,2021-05-09,AV.1
England/NORT-1BBD0E6/2021,2021-05-12,72,2021-05-09,AV.1
England/ALDP-1580237/2021,2021-05-12,72,2021-05-09,AV.1
England/ALDP-157FEDD/2021,2021-05-12,72,2021-05-09,AV.1
England/ALDP-158769E/2021,2021-05-12,72,2021-05-09,AV.1
England/NORT-1BC037E/2021,2021-05-11,72,2021-05-09,AV.1
England/NORT-1BBDF34/2021,2021-05-11,72,2021-05-09,AV.1
England/NORT-1BBC6C7/2021,2021-05-11,72,2021-05-09,AV.1
England/NORT-1BBB9ED/2021,2021-05-11,72,2021-05-09,AV.1
England/NORT-1BBBA17/2021,2021-05-11,72,2021-05-09,AV.1
England/ALDP-157F101/2021,2021-05-11,72,2021-05-09,AV.1
England/ALDP-157C939/2021,2021-05-11,72,2021-05-09,AV.1
England/CAMB-AA6187/2021,2021-05-11,72,2021-05-09,AV.1
England/NORT-1BC5652/2021,2021-05-10,72,2021-05-09,AV.1
England/NORT-1BBCE65/2021,2021-05-10,72,2021-05-09,AV.1
England/ALDP-157B7C7/2021,2021-05-10,72,2021-05-09,AV.1
England/MILK-1579037/2021,2021-05-10,72,2021-05-09,AV.1
England/MILK-1577A1D/2021,2021-05-10,72,2021-05-09,AV.1
England/ALDP-157C1E6/2021,2021-05-10,72,2021-05-09,AV.1
England/ALDP-157C289/2021,2021-05-10,72,2021-05-09,AV.1
England/NORT-1BBA15F/2021,2021-05-10,72,2021-05-09,AV.1
England/NORT-1BB96F7/2021,2021-05-10,72,2021-05-09,AV.1
England/NORT-1BB9B16/2021,2021-05-10,72,2021-05-09,AV.1
England/NORT-1BC51F7/2021,2021-05-09,72,2021-05-09,AV.1
England/NORT-1BC5072/2021,2021-05-09,72,2021-05-09,AV.1
England/NORT-1BC517F/2021,2021-05-09,72,2021-05-09,AV.1
England/ALDP-1573B1E/2021,2021-05-09,72,2021-05-09,AV.1
England/NORT-1BBCE92/2021,2021-05-08,71,2021-05-02,AV.1
England/NORT-1BBCBE6/2021,2021-05-08,71,2021-05-02,AV.1
England/NORT-1BBCCA7/2021,2021-05-08,71,2021-05-02,AV.1
England/ALDP-1573729/2021,2021-05-08,71,2021-05-02,AV.1
England/ALDP-1573668/2021,2021-05-08,71,2021-05-02,AV.1
England/ALDP-1573AB7/2021,2021-05-08,71,2021-05-02,AV.1
England/MILK-1567FA8/2021,2021-05-08,71,2021-05-02,AV.1
England/ALDP-15654BA/2021,2021-05-08,71,2021-05-02,AV.1
England/NORT-1BB8DA8/2021,2021-05-08,71,2021-05-02,AV.1
England/NORT-1BB8D6C/2021,2021-05-08,71,2021-05-02,AV.1
England/NORT-1BC1F5B/2021,2021-05-07,71,2021-05-02,AV.1
England/SHEF-10D9A3C/2021,2021-05-07,71,2021-05-02,AV.1
England/ALDP-156A01B/2021,2021-05-07,71,2021-05-02,AV.1
England/ALDP-1569E30/2021,2021-05-07,71,2021-05-02,AV.1
England/NORT-1BB90F9/2021,2021-05-07,71,2021-05-02,AV.1
England/NORT-1BB9132/2021,2021-05-07,71,2021-05-02,AV.1
England/NORT-1BB7FFE/2021,2021-05-06,71,2021-05-02,AV.1
England/ALDP-156A1CD/2021,2021-05-06,71,2021-05-02,AV.1
England/MILK-1565B3D/2021,2021-05-06,71,2021-05-02,AV.1
England/ALDP-1562E73/2021,2021-05-06,71,2021-05-02,AV.1
England/ALDP-1562857/2021,2021-05-06,71,2021-05-02,AV.1
England/NORT-1BC618D/2021,2021-05-05,71,2021-05-02,AV.1
England/NORT-1BC5018/2021,2021-05-05,71,2021-05-02,AV.1
England/NORT-1BC5485/2021,2021-05-05,71,2021-05-02,AV.1
England/NORT-1BC6572/2021,2021-05-05,71,2021-05-02,AV.1
England/MILK-156C978/2021,2021-05-05,71,2021-05-02,AV.1
England/ALDP-156BE4D/2021,2021-05-04,71,2021-05-02,AV.1
England/NORT-1BB750B/2021,2021-05-04,71,2021-05-02,AV.1
England/NORT-1BB75ED/2021,2021-05-04,71,2021-05-02,AV.1
England/NORT-1BB785D/2021,2021-05-04,71,2021-05-02,AV.1
England/ALDP-155C6DE/2021,2021-05-04,71,2021-05-02,AV.1
England/ALDP-155C86F/2021,2021-05-04,71,2021-05-02,AV.1
England/MILK-155DA68/2021,2021-05-04,71,2021-05-02,AV.1
England/ALDP-1558E25/2021,2021-05-02,71,2021-05-02,AV.1
England/NORT-1BBC339/2021,2021-05-01,70,2021-04-25,AV.1
