sequence_name,sample_date,epi_week,epi_date,lineage
England/PHEC-L30ALE90/2021,2021-06-27,79,2021-06-27,C.36.3
England/MILK-17A7AC7/2021,2021-06-24,78,2021-06-20,C.36.3
England/MILK-17AEF0D/2021,2021-06-24,78,2021-06-20,C.36.3
England/ALDP-1719D5E/2021,2021-06-15,77,2021-06-13,C.36.3
England/MILK-16AAA98/2021,2021-06-11,76,2021-06-06,C.36.3
England/MILK-16AA658/2021,2021-06-11,76,2021-06-06,C.36.3
England/ALDP-16B7B77/2021,2021-06-10,76,2021-06-06,C.36.3
England/PHEC-L307L3D0/2021,2021-06-08,76,2021-06-06,C.36.3
England/MILK-16600BA/2021,2021-06-07,76,2021-06-06,C.36.3
England/MILK-165E0A0/2021,2021-06-07,76,2021-06-06,C.36.3
England/MILK-165E116/2021,2021-06-07,76,2021-06-06,C.36.3
Northern_Ireland/NIRE-00384b/2021,2021-06-03,75,2021-05-30,C.36.3
England/SHEF-10EC508/2021,2021-06-03,75,2021-05-30,C.36.3
Northern_Ireland/NIRE-00382e/2021,2021-06-01,75,2021-05-30,C.36.3
England/ALDP-1600CE5/2021,2021-05-31,75,2021-05-30,C.36.3
England/NORT-1BCB689/2021,2021-05-31,75,2021-05-30,C.36.3
England/NORT-1BC8D3C/2021,2021-05-28,74,2021-05-23,C.36.3
Wales/PHWC-PYFK55/2021,2021-05-26,74,2021-05-23,C.36.3
England/PHEC-L306L9EE/2021,2021-05-26,74,2021-05-23,C.36.3
England/MILK-15BB136/2021,2021-05-24,74,2021-05-23,C.36.3
England/ALDP-15D18DB/2021,2021-05-24,74,2021-05-23,C.36.3
England/PLYM-15B937E/2021,2021-05-24,74,2021-05-23,C.36.3
England/MILK-15AD42F/2021,2021-05-21,73,2021-05-16,C.36.3
Wales/MILK-1596BCA/2021,2021-05-20,73,2021-05-16,C.36.3
England/NORT-1BC1E9A/2021,2021-05-18,73,2021-05-16,C.36.3
England/NORT-1BC1E12/2021,2021-05-18,73,2021-05-16,C.36.3
England/NORT-1BBECD2/2021,2021-05-18,73,2021-05-16,C.36.3
England/MILK-1592C07/2021,2021-05-17,73,2021-05-16,C.36.3
England/PHEC-L304L203/2021,2021-05-17,73,2021-05-16,C.36.3
England/PHEC-L304L151/2021,2021-05-17,73,2021-05-16,C.36.3
England/PHEC-L304LCC9/2021,2021-05-17,73,2021-05-16,C.36.3
England/PHEC-L304LA47/2021,2021-05-17,73,2021-05-16,C.36.3
England/PHEC-L304LC41/2021,2021-05-17,73,2021-05-16,C.36.3
England/PHEC-L303L583/2021,2021-05-14,72,2021-05-09,C.36.3
England/NORT-1BBC4FA/2021,2021-05-13,72,2021-05-09,C.36.3
England/NORT-1BBBD0F/2021,2021-05-13,72,2021-05-09,C.36.3
England/PHEC-L303L4A4/2021,2021-05-12,72,2021-05-09,C.36.3
England/PHEC-L304L8E3/2021,2021-05-12,72,2021-05-09,C.36.3
England/PHEC-L304L740/2021,2021-05-12,72,2021-05-09,C.36.3
England/NORT-1BBE1D3/2021,2021-05-11,72,2021-05-09,C.36.3
England/SHEF-10E2A5E/2021,2021-05-11,72,2021-05-09,C.36.3
England/QEUH-1572748/2021,2021-05-08,71,2021-05-02,C.36.3
England/QEUH-1577497/2021,2021-05-08,71,2021-05-02,C.36.3
England/ALDP-1573BB4/2021,2021-05-07,71,2021-05-02,C.36.3
England/ALDP-1570AD8/2021,2021-05-07,71,2021-05-02,C.36.3
England/MILK-156D19D/2021,2021-05-05,71,2021-05-02,C.36.3
England/PHEC-K306KB42/2021,2021-05-04,71,2021-05-02,C.36.3
England/NORT-1BB7170/2021,2021-05-03,71,2021-05-02,C.36.3
England/NOTT-25443C/2021,2021-05-02,71,2021-05-02,C.36.3
England/RAND-155F2C8/2021,2021-05-02,71,2021-05-02,C.36.3
England/MILK-155B94F/2021,2021-05-01,70,2021-04-25,C.36.3
England/ALDP-1557952/2021,2021-04-30,70,2021-04-25,C.36.3
England/NORT-1BBFF32/2021,2021-04-29,70,2021-04-25,C.36.3
England/NORT-1BBD5BA/2021,2021-04-29,70,2021-04-25,C.36.3
England/PHEC-K306K77B/2021,2021-04-29,70,2021-04-25,C.36.3
England/PHEC-K306K76C/2021,2021-04-29,70,2021-04-25,C.36.3
England/PHEC-K304K670/2021,2021-04-28,70,2021-04-25,C.36.3
England/PHEC-30B56D/2021,2021-04-28,70,2021-04-25,C.36.3
England/PHEC-K304K458/2021,2021-04-26,70,2021-04-25,C.36.3
England/RAND-154BDEC/2021,2021-04-26,70,2021-04-25,C.36.3
England/MILK-153D345/2021,2021-04-26,70,2021-04-25,C.36.3
England/MILK-153CF42/2021,2021-04-26,70,2021-04-25,C.36.3
England/PHEC-30B293/2021,2021-04-26,70,2021-04-25,C.36.3
England/PHEC-K304KFC0/2021,2021-04-25,70,2021-04-25,C.36.3
England/PHEC-K304KCAB/2021,2021-04-25,70,2021-04-25,C.36.3
England/PHEC-K304KAED/2021,2021-04-25,70,2021-04-25,C.36.3
England/ALDP-153C7FF/2021,2021-04-25,70,2021-04-25,C.36.3
England/CAMB-AA5926/2021,2021-04-24,69,2021-04-18,C.36.3
England/ALDP-152F962/2021,2021-04-23,69,2021-04-18,C.36.3
England/PHEC-30B04E/2021,2021-04-22,69,2021-04-18,C.36.3
England/MILK-152B650/2021,2021-04-21,69,2021-04-18,C.36.3
England/PHEC-30A14C/2021,2021-04-21,69,2021-04-18,C.36.3
England/PHEC-308CA7/2021,2021-04-21,69,2021-04-18,C.36.3
England/QEUH-1526CBD/2021,2021-04-21,69,2021-04-18,C.36.3
England/RAND-15203BE/2021,2021-04-21,69,2021-04-18,C.36.3
England/MILK-152A7D6/2021,2021-04-20,69,2021-04-18,C.36.3
England/PHEC-30A6A7/2021,2021-04-19,69,2021-04-18,C.36.3
England/MILK-1516F5D/2021,2021-04-19,69,2021-04-18,C.36.3
England/MILK-1516FD5/2021,2021-04-19,69,2021-04-18,C.36.3
England/MILK-151C2F4/2021,2021-04-19,69,2021-04-18,C.36.3
England/PHEC-308AAD/2021,2021-04-19,69,2021-04-18,C.36.3
England/CAMC-1510A34/2021,2021-04-19,69,2021-04-18,C.36.3
England/ALDP-151710B/2021,2021-04-18,69,2021-04-18,C.36.3
England/RAND-1524305/2021,2021-04-17,68,2021-04-11,C.36.3
England/QEUH-1515F7C/2021,2021-04-17,68,2021-04-11,C.36.3
England/QEUH-1515F6D/2021,2021-04-17,68,2021-04-11,C.36.3
England/MILK-15247AF/2021,2021-04-17,68,2021-04-11,C.36.3
England/ALDP-1518EB8/2021,2021-04-17,68,2021-04-11,C.36.3
England/MILK-1514CA3/2021,2021-04-17,68,2021-04-11,C.36.3
Wales/PHWC-PYD6MC/2021,2021-04-17,68,2021-04-11,C.36.3
Wales/PHWC-PYD6CK/2021,2021-04-17,68,2021-04-11,C.36.3
England/CAMC-15106D6/2021,2021-04-16,68,2021-04-11,C.36.3
England/ALDP-150D7BB/2021,2021-04-15,68,2021-04-11,C.36.3
England/ALDP-1508219/2021,2021-04-15,68,2021-04-11,C.36.3
England/ALDP-1508158/2021,2021-04-15,68,2021-04-11,C.36.3
England/PHEC-306E67/2021,2021-04-15,68,2021-04-11,C.36.3
Wales/CAMC-150D5DF/2021,2021-04-14,68,2021-04-11,C.36.3
England/MILK-1505C69/2021,2021-04-14,68,2021-04-11,C.36.3
England/RAND-1506B01/2021,2021-04-13,68,2021-04-11,C.36.3
England/HSLL-150FC8D/2021,2021-04-13,68,2021-04-11,C.36.3
England/CAMB-AA55F5/2021,2021-04-13,68,2021-04-11,C.36.3
England/CAMC-1507D91/2021,2021-04-13,68,2021-04-11,C.36.3
England/RAND-14FA688/2021,2021-04-12,68,2021-04-11,C.36.3
